# public_identity\tbinary\tlegacy_module
ingest	bonfyre-ingest	BonfyreIngest
mediaprep	bonfyre-media-prep	BonfyreMediaPrep
transcribe	bonfyre-transcribe	BonfyreTranscribe
clean	bonfyre-transcript-clean	BonfyreTranscriptClean
paragraph	bonfyre-paragraph	BonfyreParagraph
brief	bonfyre-brief	BonfyreBrief
proof	bonfyre-proof	BonfyreProof
offer	bonfyre-offer	BonfyreOffer
narrate	bonfyre-narrate	BonfyreNarrate
pack	bonfyre-pack	BonfyrePack
distribute	bonfyre-distribute	BonfyreDistribute
transcript-family	bonfyre-transcript-family	BonfyreTranscriptFamily
render	bonfyre-render	BonfyreRender
repurpose	bonfyre-repurpose	BonfyreRepurpose
clips	bonfyre-clips	BonfyreClips
frame-extract	bonfyre-frame-extract	BonfyreFrameExtract
scene-detect	bonfyre-scene-detect	BonfyreSceneDetect
video-demux	bonfyre-video-demux	BonfyreVideoDemux
detect-objects	bonfyre-detect-objects	BonfyreDetectObjects
fragment	bonfyre-fragment	BonfyreFragment
workflow	bonfyre-workflow	BonfyreWorkflow
watch	bonfyre-watch	BonfyreWatch
family	bonfyre-family	BonfyreFamily
model	bonfyre-qwen-fpq	BonfyreQwenFPQ
embed	bonfyre-moe	BonfyreMoE
vec	bonfyre-vec	BonfyreVec
segment	bonfyre-segment	BonfyreSegment
speech-loop	bonfyre-speechloop	BonfyreSpeechLoop
mfa-dict	bonfyre-mfa-dict	BonfyreMFADict
tone	bonfyre-tone	BonfyreTone
tag	bonfyre-tag	BonfyreTag
entity	bonfyre-entity	BonfyreEntity
canon	bonfyre-canon	BonfyreCanon
gen	bonfyre-gen	BonfyreGen
sli	bonfyre-sli	BonfyreSLI
quant	bonfyre-quant	BonfyreQuant
fpq	bonfyre-fpq	BonfyreFPQ
fpqx	bonfyre-fpqx	BonfyreFPQx
layer	bonfyre-layer	BonfyreLayer
layer-c	bonfyre-layer-c	BonfyreLayer
sae	bonfyre-sae	BonfyreSAE
learn	bonfyre-learn	BonfyreLearn
weaviate	bonfyre-weaviate-index	BonfyreWeaviateIndex
leapfrog	bonfyre-leapfrog	BonfyreLeapfrog
violence	bonfyre-violence	BonfyreViolence
reason	bonfyre-reason	BonfyreReason
net	bonfyre-net	BonfyreNet
flashqla	bonfyre-flashqla	BonfyreFlashQLA
physics	bonfyre-physics	BonfyrePhysics
recipe	bonfyre-recipe	BonfyreRecipe
run	bonfyre-run	BonfyreRun
flow	bonfyre-flow	BonfyreFlow
pipeline	bonfyre-pipeline	BonfyrePipeline
runtime	bonfyre-runtime	BonfyreRuntime
discipl	bonfyre-discipl	BonfyreDiscipl
orchestrate	bonfyre-orchestrate	BonfyreOrchestrate
control	bonfyre-control	BonfyreControl
swarm	bonfyre-swarm-selftest	BonfyreSwarm
project	bonfyre-project	BonfyreProject
space	bonfyre-space	BonfyreSpace
proxy	bonfyre-proxy	BonfyreProxy
doctor	bonfyre-runtime	BonfyreRuntime
capabilities	bonfyre-capability	BonfyreCapability
hash	bonfyre-hash	BonfyreHash
index	bonfyre-index	BonfyreIndex
compress	bonfyre-compress	BonfyreCompress
emit	bonfyre-emit	BonfyreEmit
stitch	bonfyre-stitch	BonfyreStitch
queue	bonfyre-queue	BonfyreQueue
sync	bonfyre-sync	BonfyreSync
graph	bonfyre-graph	BonfyreGraph
query	bonfyre-query	BonfyreQuery
wire	bonfyre-wire	BonfyreWire
surface	bonfyre-surface	BonfyreSurface
kvcache	bonfyre-kvcache	BonfyreKVCache
auth	bonfyre-auth	BonfyreAuth
tel	bonfyre-tel	BonfyreTel
moq	bonfyre-moq-selftest	BonfyreMoQ
cms	bonfyre-cms	BonfyreCMS
api	bonfyre-api-selftest	BonfyreAPI
time	bonfyre-time	BonfyreTime
gate	bonfyre-gate	BonfyreGate
meter	bonfyre-meter	BonfyreMeter
ledger	bonfyre-ledger	BonfyreLedger
economy	bonfyre-economy	BonfyreEconomy
compete	bonfyre-compete	BonfyreCompete
pay	bonfyre-pay	BonfyrePay
finance	bonfyre-finance	BonfyreFinance
tier	bonfyre-tier	BonfyreTier
outreach	bonfyre-outreach	BonfyreOutreach
self	bonfyre	BonfyreCLI
precision	bonfyre	BonfyreCLI
status	bonfyre	BonfyreCLI
